Entire Dataset 690,AUC,Accuracy,Mean,165 Datasets (CBLANE),AUC,Accuracy
wgEncodeAwgTfbsHaibA549Six5V0422111Etoh02UniPk,0.9105212092,0.8270195127,,wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk,0.9584643245,0.8938265443
wgEncodeAwgTfbsSydhK562Elk112771IggrabUniPk,0.9508599043,0.8825757504,,wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk,0.9770368338,0.9258188605
wgEncodeAwgTfbsHaibH1hescP300V0416102UniPk,0.9661261439,0.910743773,,wgEncodeAwgTfbsSydhK562CfosUniPk,0.9778933525,0.9274778366
wgEncodeAwgTfbsHaibGm12878Pbx3Pcr1xUniPk,0.9793842435,0.938955009,,wgEncodeAwgTfbsSydhK562CjunUniPk,0.9664530754,0.9117043018
wgEncodeAwgTfbsSydhGm10847Pol2IggmusUniPk,0.9037300944,0.8105173707,,wgEncodeAwgTfbsSydhK562Corestsc30189IggrabUniPk,0.9319975972,0.8535336256
wgEncodeAwgTfbsSydhH1hescCebpbIggrabUniPk,0.9464765787,0.8769841194,,wgEncodeAwgTfbsSydhK562Gata2UcdUniPk,0.987858355,0.9516071081
wgEncodeAwgTfbsUtaHuvecCmycUniPk,0.8712153435,0.7688385248,,wgEncodeAwgTfbsSydhK562JundIggrabUniPk,0.9463126063,0.8812370896
wgEncodeAwgTfbsHaibU87NrsfPcr2xUniPk,0.8789997101,0.7930911779,,wgEncodeAwgTfbsSydhK562MaxIggrabUniPk,0.9510435462,0.8805969954
wgEncodeAwgTfbsHaibHepg2Hdac2sc6296V0416101UniPk,0.9488499761,0.8791961074,,wgEncodeAwgTfbsSydhK562P300IggrabUniPk,0.9467653632,0.8760119081
wgEncodeAwgTfbsUtaHelas3CmycUniPk,0.9033446312,0.817292273,,wgEncodeAwgTfbsSydhK562TbpIggmusUniPk,0.9444336295,0.8695256114
wgEncodeAwgTfbsUtaProgfibPol2UniPk,0.9677539468,0.891262114,,wgEncodeAwgTfbsSydhK562Yy1UcdUniPk,0.9895958304,0.9553340673
wgEncodeAwgTfbsSydhPanc1Tcf7l2UcdUniPk,0.9024043083,0.8125820756,,wgEncodeAwgTfbsSydhMcf10aesCfosTam112hHvdUniPk,0.8371790051,0.7456140518
wgEncodeAwgTfbsUtaHepg2Pol2UniPk,0.9346311092,0.8527397513,,wgEncodeAwgTfbsSydhMcf10aesCfosTam14hHvdUniPk,0.9747841358,0.9216011167
wgEncodeAwgTfbsHaibH1hescHdac2sc6296V0416102UniPk,0.946572125,0.8660668135,,wgEncodeAwgTfbsSydhMcf10aesCfosTamHvdUniPk,0.9644637108,0.8965209723
wgEncodeAwgTfbsSydhHelas3Baf170IggmusUniPk,0.9292612076,0.8463639617,,wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01bUniPk,0.9795901179,0.9295098186
wgEncodeAwgTfbsUtaGlioblaPol2UniPk,0.9491586089,0.8679164648,,wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01cUniPk,0.9687566161,0.9179308414
wgEncodeAwgTfbsSydhGm10847NfkbTnfaIggrabUniPk,0.9098603725,0.8149253726,,wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01UniPk,0.9792346954,0.9350785613
wgEncodeAwgTfbsSydhGm12878Mazab85725IggmusUniPk,0.9930328131,0.9632554054,,wgEncodeAwgTfbsSydhMcf10aesStat3Tam112hHvdUniPk,0.9782716632,0.9266982675
wgEncodeAwgTfbsUtaA549Pol2UniPk,0.9353103638,0.8567517996,,wgEncodeAwgTfbsSydhMcf10aesStat3TamUniPk,0.9330767393,0.8553311229
