Name,Train Size,Loss,Accuracy,Precision,Recall,PR AUC,ROC AUC,F1 Score
wgEncodeAwgTfbsUtaHelas3CmycUniPk,4444,0.27410921454429626,0.9019784331321716,0.9078156352043152,0.8975184559822083,0.9577431678771973,0.9594615697860718,0.901733934879303
wgEncodeAwgTfbsHaibHepg2Elf1sc631V0416101UniPk,28251,0.19480586051940918,0.9248481392860413,0.9249321818351746,0.9224695563316345,0.9767078161239624,0.9771718382835388,0.9231534004211426
wgEncodeAwgTfbsHaibT47dFoxa1sc6553V0416102Dm002p1hUniPk,64962,0.23148797452449799,0.9064664244651794,0.9124982357025146,0.8992536664009094,0.9681494832038879,0.968508243560791,0.905039370059967
wgEncodeAwgTfbsHaibA549Six5V0422111Etoh02UniPk,7612,0.3270028233528137,0.854144811630249,0.8770620226860046,0.8302276134490967,0.9390023946762085,0.9384468793869019,0.8520891666412354
wgEncodeAwgTfbsHaibH1hescNrsfV0416102UniPk,20690,0.21431128680706024,0.9209918975830078,0.9382666349411011,0.89919513463974,0.9740750789642334,0.9748344421386719,0.9178255796432495
wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk,9126,0.32629865407943726,0.8497591018676758,0.8577240705490112,0.8281740546226501,0.9362863898277283,0.9342242479324341,0.8416621685028076
wgEncodeAwgTfbsSydhHelas3Pol2s2IggrabUniPk,19393,0.3615916073322296,0.8361837863922119,0.8417145013809204,0.8287922143936157,0.9198957681655884,0.9188584685325623,0.8341696858406067
wgEncodeAwgTfbsBroadK562Ezh239875UniPk,2684,0.5728275179862976,0.7008928656578064,0.6864311099052429,0.6723408102989197,0.7932045459747314,0.7903845310211182,0.6750138401985168
wgEncodeAwgTfbsSydhK562Yy1UcdUniPk,7601,0.19955526292324066,0.9287958145141602,0.9386871457099915,0.9191572070121765,0.9779890775680542,0.9789275527000427,0.9283924698829651
wgEncodeAwgTfbsHaibSknshNrsfV0416101UniPk,17351,0.2877401113510132,0.8885563015937805,0.8915196657180786,0.8808592557907104,0.9557567834854126,0.9559663534164429,0.885547399520874
wgEncodeAwgTfbsSydhK562CmycIfng6hUniPk,30161,0.29727619886398315,0.8757615685462952,0.8740408420562744,0.871501088142395,0.9470165967941284,0.9469472169876099,0.8719965815544128
wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Gen1hUniPk,18028,0.42536240816116333,0.8262983560562134,0.8277110457420349,0.8259451389312744,0.9055216908454895,0.9075239300727844,0.8261516094207764
wgEncodeAwgTfbsHaibH1hescSp2V0422111UniPk,3813,0.23805470764636993,0.9185803532600403,0.9346124529838562,0.9006271958351135,0.9698624610900879,0.9702275991439819,0.916438639163971
wgEncodeAwgTfbsSydhMcf10aesCfosEtoh01HvdUniPk,105008,0.16785430908203125,0.9380423426628113,0.9427958130836487,0.9325026869773865,0.9812968969345093,0.9823216795921326,0.9371310472488403
wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk,37887,0.3218223452568054,0.8633540272712708,0.8703472018241882,0.8508236408233643,0.9393240213394165,0.9392901062965393,0.8595653176307678
wgEncodeAwgTfbsSydhK562Stat1Ifng30UniPk,3263,0.25102582573890686,0.9125874042510986,0.9307236075401306,0.8906823396682739,0.9667126536369324,0.9679147601127625,0.9101259112358093
wgEncodeAwgTfbsUchicagoK562EjunbUniPk,19268,0.2241840362548828,0.9115999341011047,0.9246758818626404,0.8949084281921387,0.9698325991630554,0.9706241488456726,0.9085240364074707
wgEncodeAwgTfbsSydhH1hescCtbp2UcdUniPk,11227,0.41876769065856934,0.8105413317680359,0.8168806433677673,0.7986763119697571,0.8919475078582764,0.8927881121635437,0.8062135577201843
wgEncodeAwgTfbsSydhH1hescCmycIggrabUniPk,7219,0.25935494899749756,0.8942413926124573,0.9084899425506592,0.8800086379051208,0.9615623950958252,0.9612699151039124,0.8932330012321472
wgEncodeAwgTfbsSydhK562Gata2UcdUniPk,16597,0.2832348644733429,0.8863800168037415,0.8913702964782715,0.8819880485534668,0.9545642733573914,0.955135703086853,0.8853165507316589
wgEncodeAwgTfbsHaibH1hescP300V0416102UniPk,14016,0.3634202778339386,0.855353057384491,0.8782381415367126,0.8292487859725952,0.9316294193267822,0.9333066940307617,0.8520388007164001
wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk,19613,0.23203153908252716,0.9049167037010193,0.9155426025390625,0.8882184028625488,0.9682003259658813,0.9681375622749329,0.900765061378479
